iri,name
"https://linked.data.gov.au/def/csdm/wa-surveypoint-method","WA Survey Point Creation Method"
"https://linked.data.gov.au/def/csdm/wa-surveypoint-purpose","WA Survey Point Purpose"
"https://linked.data.gov.au/def/csdm/wa-vector-purpose","WA Vector Purpose"
"https://linked.data.gov.au/def/fsdf/themes","FSDF Themes"
"https://linked.data.gov.au/def/geocode-types","Geocode Types"
"https://linked.data.gov.au/def/gn-affix","Geographical Name Affix"
"https://linked.data.gov.au/def/gn-part-types","Geographical Name Part Types"
"https://linked.data.gov.au/def/go-categories","Geographical Object Categories"
"https://linked.data.gov.au/def/ground-relationship","Ground Relationship"
"https://linked.data.gov.au/def/lifecycle-stage-types","Lifecycle Stage Types"
"https://linked.data.gov.au/def/lrrs-indicator","Local Road of Regional Significance Indicator"
"https://linked.data.gov.au/def/naming-authority","Naming Authority"
"https://linked.data.gov.au/def/population-zone","Population Zone"
"https://linked.data.gov.au/def/positional-accuracy","Positional Accuracy"
"https://linked.data.gov.au/def/record-access","Record Access"
"https://linked.data.gov.au/def/road-cadastral-relationship","Road Cadastral Relationship"
"https://linked.data.gov.au/def/road-geometry-notes","Road Geometry Notes"
"https://linked.data.gov.au/def/road-lane-count","Road Lane Count"
"https://linked.data.gov.au/def/road-maintainer","Road Maintainer"
"https://linked.data.gov.au/def/road-operational-statuses","Road Operational Statuses"
"https://linked.data.gov.au/def/road-owner","Road Owner"
"https://linked.data.gov.au/def/road-seasonality","Road Seasonality"
"https://linked.data.gov.au/def/road-surfaces","Road Surfaces"
"https://linked.data.gov.au/def/road-trafficability","Road Trafficability"
"https://linked.data.gov.au/def/road-travel-direction","Road Travel Direction"
"https://linked.data.gov.au/def/road-types","Road Types"
"https://linked.data.gov.au/def/road-user-access","Road User Access"
"https://linked.data.gov.au/def/scr-indicator","State Controlled Road Indicator"
"https://linked.data.gov.au/def/spatial-capture-method","Spatial capture method"
"https://linked.data.gov.au/def/subaddress-types","Sub-Address Types"
"https://linked.data.gov.au/def/surface-capture-method","Surface capture method"
"https://linked.data.gov.au/def/unggim-themes","UN-GGIM Data Themes"
