iri,name
https://linked.data.gov.au/def/gsq-geochem/coord-sys-id,Coord Sys Id
https://linked.data.gov.au/def/gsq-geochem/current-class,Current Class
https://linked.data.gov.au/def/gsq-geochem/depth-datum,Depth Datum
https://linked.data.gov.au/def/gsq-geochem/drill-diameter,Drill Diameter
https://linked.data.gov.au/def/gsq-geochem/drill-type,Drill Type
https://linked.data.gov.au/def/gsq-geochem/grain-size,Grain Size
https://linked.data.gov.au/def/gsq-geochem/lease-name,Lease Name
https://linked.data.gov.au/def/gsq-geochem/loc-survey-type,Loc Survey Type
https://linked.data.gov.au/def/gsq-geochem/mesh-size,Mesh Size
https://linked.data.gov.au/def/gsq-geochem/qaqc,Qaqc
https://linked.data.gov.au/def/gsq-geochem/reserve-class-id,Reserve Class Id
https://linked.data.gov.au/def/gsq-geochem/resource-status,Resource Status
https://linked.data.gov.au/def/gsq-geochem/rpt-survey-type,Rpt Survey Type
https://linked.data.gov.au/def/gsq-geochem/sample-material,Geochemistry Sample Material
https://linked.data.gov.au/def/gsq-geochem/sample-type-drilling,Sample Type Drilling
https://linked.data.gov.au/def/gsq-geochem/sample-type-surface,Sample Type Surface
https://linked.data.gov.au/def/gsq-geochem/soil-colour,Soil Colour
https://linked.data.gov.au/def/gsq-geochem/structural-feature,Structural Feature
https://linked.data.gov.au/def/gsq-geochem/structure,Structure
https://linked.data.gov.au/def/gsq-geochem/texture,Texture
https://linked.data.gov.au/def/gsq-geochem/weathering,Weathering
https://linked.data.gov.au/def/iso-19157-data-quality-dimension,ISO19157 Data Quality Dimensions
https://linked.data.gov.au/def/iso-iec-25012-data-quality-dimension,ISO25012 Data Quality Dimensions
https://linked.data.gov.au/def/iso639-1,ISO639-1: Codes for the Representation of Names of Languages
https://linked.data.gov.au/def/lifecycle-stage-types,Lifecycle Stage Types
https://linked.data.gov.au/def/lrrs-indicator,Local Road of Regional Significance Indicator
https://linked.data.gov.au/def/naming-authority,Naming Authority
https://linked.data.gov.au/def/nsw-quality-dimension,NSW Government Data Quality Dimensions
